stem	query_title	status_or_id	matched_title_or_error
scaling_agents_via_continual_pretraining_fas_has	Scaling Agents via Continual Pre-training FAS HAS	NOT_FOUND	
apigen_automated_pipeline_verifiable_fc_data	APIGen Automated Pipeline for Generating Verifiable Function Calling Data	NOT_FOUND	
codeact_executable_code_actions_elicit_better_llm_agents	Executable Code Actions Elicit Better LLM Agents	2402.01030v4	Executable Code Actions Elicit Better LLM Agents
toolllm_toolbench_qin	ToolLLM ToolBench	NOT_FOUND	
deepseek_r1	DeepSeek-R1	2504.07128v3	DeepSeek-R1 Thoughtology: Let's think about LLM Reasoning
deepseek_math	DeepSeekMath Pushing the Limits of Mathematical Reasoning in Open Language Models	2402.03300v3	DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models
gorilla_llm_connected_with_massive_apis	Gorilla LLM Connected with Massive APIs	NOT_FOUND	
agentinstruct_generative_teaching_with_agentic_activity	AgentInstruct Generative Teaching with Agentic Activity	NOT_FOUND	
nexusraven_v2	NexusRaven-V2 Surpassing GPT-4 for Zero-shot Function Calling	NOT_FOUND	
react_synergizing_reasoning_and_acting	ReAct Synergizing Reasoning and Acting in Language Models	2210.03629v3	ReAct: Synergizing Reasoning and Acting in Language Models
llama3_technical_report	Llama 3 Technical Report	NOT_FOUND	
doremi_optimizing_data_mixtures	DoReMi Optimizing Data Mixtures Speeds Up Language Model Pretraining	2305.10429v4	DoReMi: Optimizing Data Mixtures Speeds Up Language Model Pretraining
the_stack_v2	The Stack v2 The Next Generation	2402.19173v1	StarCoder 2 and The Stack v2: The Next Generation
continual_pretraining_rewarm_your_model	Continual Pre-training of Language Models How to rewarm your model	NOT_FOUND	
bloomberggpt	BloombergGPT A Large Language Model for Finance	2303.17564v3	BloombergGPT: A Large Language Model for Finance
dont_stop_pretraining	Don't Stop Pretraining Adapt Language Models to Domains and Tasks	2004.10964v3	Don't Stop Pretraining: Adapt Language Models to Domains and Tasks
scaling_data_constrained_language_models	Scaling Data-Constrained Language Models	2305.16264v5	Scaling Data-Constrained Language Models
qwen2_5_technical_report	Qwen2.5 Technical Report	2412.15115v2	Qwen2.5 Technical Report
lima_less_is_more_for_alignment	LIMA Less Is More for Alignment	2305.11206v1	LIMA: Less Is More for Alignment
simple_scalable_strategies_cpt	Simple and Scalable Strategies to Continually Pre-train Large Language Models	2403.08763v4	Simple and Scalable Strategies to Continually Pre-train Large Language Models
